year,season,crop,region,district,irrigation,land_area_ha,fertilizer_kg,rainfall_mm,farmer_experience_yrs,yield_t_ha,production_kg,price_rs_per_kg,total_revenue_rs
2020,Maha,Radish,Up country,Badulla,Rainfed,0.523,81.8,163.9,14,15.682,8209.8,42.38,347931.32
2022,Yala,Tomato,Up country,Kandy,Irrigated,0.22,17.4,205.1,24,21.892,4565.1,146.15,667189.37
2020,Maha,Red pumpkin,Low country,Gampaha,Irrigated,0.334,46.1,141.3,2,11.99,3875.5,90.04,348950.02
2024,Maha,Tomato,Up country,Badulla,Rainfed,0.503,47.3,131.4,12,13.081,6390.0,160.71,1026936.9
2020,Maha,Cabbage,Up country,Nuwara Eliya,Rainfed,0.23,45.1,151.7,14,18.615,4206.0,84.89,357047.34
2024,Maha,Tomato,Up country,Kandy,Irrigated,0.173,25.6,82.7,13,15.605,2559.6,189.22,484327.51
2018,Yala,Cabbage,Up country,Badulla,Rainfed,0.574,58.1,118.3,19,24.094,14991.7,59.6,893505.32
2020,Yala,Carrot,Up country,Kandy,Irrigated,0.085,5.9,165.4,7,24.58,2172.7,213.53,463936.63
2017,Yala,Carrot,Up country,Badulla,Irrigated,0.184,34.8,159.0,1,20.577,3837.1,135.48,519850.31
2022,Yala,Red pumpkin,Low country,Ratnapura,Irrigated,0.05,6.6,134.0,16,19.234,956.5,129.63,123991.1
2023,Yala,Luffa,Low country,Gampaha,Irrigated,0.202,25.6,278.6,6,11.006,2182.3,149.06,325293.64
2016,Maha,Leeks,Up country,Kandy,Irrigated,0.732,83.7,247.4,9,42.591,31353.9,45.05,1412493.2
2024,Maha,Ash pumpkin,Low country,Gampaha,Irrigated,0.287,28.5,53.8,13,19.653,5571.9,72.12,401845.43
2023,Maha,Ash pumpkin,Low country,Kalutara,Irrigated,0.544,102.5,103.4,11,18.774,10241.9,64.95,665211.4
2019,Yala,Ash pumpkin,Low country,Kurunegala,Irrigated,0.416,85.5,274.6,22,14.222,5922.5,48.85,289314.12
2023,Maha,Bitter gourd,Low country,Ratnapura,Rainfed,0.503,90.0,167.3,15,6.577,3274.5,197.93,648121.78
2023,Maha,Cucumber,Low country,Ratnapura,Rainfed,0.331,50.2,156.2,10,14.855,4936.1,57.66,284615.53
2018,Maha,Snake gourd,Low country,Kalutara,Irrigated,0.365,51.6,29.5,16,12.714,4716.1,75.6,356537.16
2023,Maha,Beetroot,Up country,Nuwara Eliya,Irrigated,0.142,22.4,125.6,7,15.895,2110.0,143.76,303333.6
2021,Maha,Cucumber,Low country,Kurunegala,Irrigated,0.101,10.6,196.2,1,16.478,1627.9,71.84,116948.34
2023,Maha,Tomato,Up country,Nuwara Eliya,Rainfed,0.178,21.1,144.5,19,10.939,1957.6,202.25,395924.6
2017,Yala,Capsicum,Low country,Kalutara,Irrigated,0.185,37.5,205.2,0,8.979,1597.1,193.61,309214.53
2017,Yala,Ash pumpkin,Low country,Gampaha,Irrigated,1.253,212.6,73.5,22,18.45,22406.7,31.86,713877.46
2016,Yala,Luffa,Low country,Ratnapura,Rainfed,2.184,335.1,59.6,11,10.527,22692.9,42.53,965129.04
2020,Yala,Luffa,Low country,Kalutara,Rainfed,0.329,38.4,94.0,0,11.036,3616.0,90.62,327681.92
2018,Maha,Tomato,Up country,Nuwara Eliya,Rainfed,0.225,29.0,86.3,12,10.37,2331.9,107.95,251728.6
2018,Maha,Snake gourd,Low country,Gampaha,Rainfed,0.371,41.8,104.9,8,8.017,2936.3,85.61,251376.64
2024,Yala,Red pumpkin,Low country,Ratnapura,Irrigated,0.276,42.4,182.2,7,17.671,4892.6,95.89,469151.41
2019,Maha,Ladies fingers,Low country,Ratnapura,Irrigated,0.342,42.8,104.1,17,11.172,3932.4,72.04,283290.1
2016,Maha,Carrot,Up country,Badulla,Irrigated,0.211,47.6,127.8,16,20.787,4435.2,107.38,476251.78
2021,Yala,Beetroot,Up country,Badulla,Irrigated,0.214,40.7,155.9,10,22.192,4614.2,84.3,388977.06
2022,Yala,Ash plantain,Low country,Kalutara,Rainfed,0.21,42.6,261.4,10,9.147,1868.7,96.47,180273.49
2021,Yala,Brinjal,Low country,Kurunegala,Irrigated,0.083,11.3,260.9,6,12.468,965.6,154.78,149455.57
2021,Maha,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.445,67.8,172.0,13,7.214,3297.7,75.82,250031.61
2023,Maha,Snake gourd,Low country,Kurunegala,Irrigated,0.449,60.3,158.4,21,13.577,6135.1,74.61,457739.81
2024,Maha,Luffa,Low country,Kurunegala,Irrigated,0.219,24.5,221.9,9,11.596,2529.3,159.71,403954.5
2017,Yala,Snake gourd,Low country,Gampaha,Rainfed,0.618,98.9,204.1,17,10.804,7059.7,56.04,395625.59
2022,Maha,Cucumber,Low country,Kurunegala,Irrigated,0.721,96.8,227.8,6,12.893,9240.7,45.12,416940.38
2024,Yala,Bitter gourd,Low country,Ratnapura,Irrigated,0.096,12.7,66.9,2,16.46,1598.5,288.28,460815.58
2018,Yala,Ladies fingers,Low country,Ratnapura,Irrigated,0.287,48.9,129.4,13,10.599,3081.7,75.61,233007.34
2016,Maha,Bitter gourd,Low country,Kurunegala,Rainfed,0.455,48.4,194.7,0,8.406,3788.4,109.08,413238.67
2021,Yala,Ladies fingers,Low country,Kalutara,Rainfed,0.203,37.3,136.1,10,10.083,2087.5,91.01,189983.38
2017,Maha,Ash pumpkin,Low country,Kurunegala,Irrigated,0.294,65.2,107.7,0,23.004,6839.6,38.12,260725.55
2016,Yala,Red pumpkin,Low country,Kalutara,Irrigated,0.108,14.5,155.4,21,11.574,1231.6,76.12,93749.39
2024,Maha,Snake gourd,Low country,Ratnapura,Irrigated,0.442,54.1,139.1,21,13.614,6056.0,107.32,649929.92
2022,Maha,Knol-khol,Up country,Kandy,Irrigated,0.174,25.9,160.7,0,9.746,1770.8,101.4,179559.12
2020,Maha,Red pumpkin,Low country,Ratnapura,Irrigated,0.465,92.1,136.3,5,12.315,5787.7,58.66,339506.48
2024,Yala,Brinjal,Low country,Gampaha,Irrigated,0.627,79.9,241.4,0,12.746,7862.3,103.33,812411.46
2024,Yala,Bean (green),Up country,Kandy,Irrigated,0.15,23.8,73.7,5,9.598,1444.8,269.16,388882.37
2016,Yala,Red pumpkin,Low country,Kurunegala,Rainfed,0.202,30.0,96.2,9,9.642,1984.0,68.66,136221.44
2023,Maha,Ash plantain,Low country,Kurunegala,Irrigated,0.615,110.2,190.8,8,11.37,6705.8,77.88,522247.7
2017,Yala,Red pumpkin,Low country,Kalutara,Irrigated,0.508,93.3,119.5,15,14.044,7099.0,54.93,389948.07
2018,Yala,Capsicum,Low country,Gampaha,Irrigated,0.165,17.7,145.8,29,10.516,1670.0,199.46,333098.2
2022,Maha,Ladies fingers,Low country,Kalutara,Rainfed,0.261,21.8,148.5,19,7.767,2007.6,116.37,233624.41
2023,Yala,Knol-khol,Up country,Badulla,Irrigated,0.628,57.3,134.0,13,13.932,8625.4,64.76,558580.9
2024,Maha,Beetroot,Up country,Nuwara Eliya,Rainfed,0.138,23.7,139.1,17,12.245,1680.2,158.7,266647.74
2024,Yala,Ash pumpkin,Low country,Kalutara,Rainfed,0.737,118.1,177.5,20,12.115,8868.6,74.28,658759.61
2017,Yala,Tomato,Up country,Kandy,Rainfed,0.436,68.5,180.2,11,18.901,8103.9,81.02,656577.98
2018,Yala,Tomato,Up country,Kandy,Irrigated,0.05,5.3,129.8,7,22.972,1120.2,151.74,169979.15
2023,Maha,Ash pumpkin,Low country,Kalutara,Irrigated,1.864,287.4,175.6,6,23.591,43478.2,45.32,1970432.02
2021,Maha,Red pumpkin,Low country,Kurunegala,Irrigated,0.428,65.4,165.3,9,11.746,4805.9,68.78,330549.8
2017,Maha,Tomato,Up country,Nuwara Eliya,Rainfed,0.165,23.0,183.1,19,12.148,2100.8,103.42,217264.74
2018,Yala,Ash pumpkin,Low country,Ratnapura,Irrigated,1.145,269.0,196.1,22,23.438,26338.5,30.18,794895.93
2020,Yala,Luffa,Low country,Kurunegala,Rainfed,0.18,21.1,136.9,35,6.601,1180.9,161.56,190786.2
2022,Maha,Bean (green),Up country,Nuwara Eliya,Rainfed,0.74,71.2,88.1,13,10.089,7530.1,136.37,1026879.74
2018,Maha,Leeks,Up country,Badulla,Irrigated,0.38,46.4,161.6,9,30.21,12041.7,90.74,1092663.86
2017,Yala,Cabbage,Up country,Kandy,Irrigated,0.114,23.3,201.5,6,35.854,4170.0,64.33,268256.1
2020,Maha,Tomato,Up country,Badulla,Rainfed,1.991,280.9,32.7,8,11.639,22555.9,77.1,1739059.89
2021,Maha,Beetroot,Up country,Badulla,Rainfed,0.345,52.8,107.9,13,9.835,3429.5,107.86,369905.87
2018,Yala,Tomato,Up country,Nuwara Eliya,Irrigated,0.628,69.6,93.1,9,20.651,13228.5,64.14,848475.99
2023,Maha,Snake gourd,Low country,Ratnapura,Rainfed,1.294,141.8,140.0,10,14.186,18081.9,67.56,1221613.16
2023,Yala,Beetroot,Up country,Kandy,Irrigated,0.576,47.8,81.4,10,19.239,11420.4,87.88,1003624.75
2024,Maha,Leeks,Up country,Kandy,Irrigated,0.415,59.0,205.5,5,24.332,10323.7,137.17,1416101.93
2023,Yala,Tomato,Up country,Badulla,Irrigated,0.156,21.3,36.9,9,18.984,2887.2,136.17,393150.02
2021,Maha,Red pumpkin,Low country,Ratnapura,Irrigated,0.425,98.8,159.9,32,12.933,5759.4,73.6,423891.84
2022,Yala,Capsicum,Low country,Gampaha,Irrigated,0.345,39.3,218.4,19,11.602,3897.8,193.19,753015.98
2019,Yala,Brinjal,Low country,Gampaha,Irrigated,1.478,337.6,147.8,11,14.808,23118.9,47.17,1090518.51
2024,Yala,Cucumber,Low country,Ratnapura,Irrigated,0.133,30.3,106.2,25,13.392,1697.0,95.72,162436.84
2021,Maha,Carrot,Up country,Kandy,Irrigated,1.163,168.9,156.5,9,19.627,22214.8,89.02,1977561.5
2016,Yala,Ash plantain,Low country,Gampaha,Irrigated,0.348,71.7,81.6,17,10.293,3512.4,53.21,186894.8
2023,Maha,Bean (green),Up country,Nuwara Eliya,Rainfed,0.312,52.6,280.4,14,9.435,2975.8,192.71,573466.42
2020,Maha,Brinjal,Low country,Kurunegala,Rainfed,1.838,232.1,150.2,17,10.773,20235.1,45.35,917661.78
2019,Maha,Carrot,Up country,Kandy,Irrigated,2.618,547.1,145.4,13,16.65,41745.9,66.49,2775684.89
2016,Maha,Ash plantain,Low country,Ratnapura,Irrigated,0.579,77.0,62.5,0,13.446,7863.3,43.34,340795.42
2023,Maha,Ash pumpkin,Low country,Ratnapura,Irrigated,0.245,31.0,229.6,18,16.011,3770.3,72.23,272328.77
2020,Yala,Ash plantain,Low country,Kurunegala,Rainfed,0.265,42.4,110.8,7,10.473,2807.2,87.75,246331.8
2021,Yala,Luffa,Low country,Gampaha,Irrigated,0.75,57.4,133.8,25,10.964,8415.5,83.38,701684.39
2016,Maha,Ladies fingers,Low country,Kurunegala,Irrigated,0.232,29.8,150.2,7,10.093,2338.3,67.8,158536.74
2024,Maha,Bitter gourd,Low country,Gampaha,Irrigated,0.464,72.6,195.9,14,11.5,5304.1,217.35,1152846.14
2019,Maha,Tomato,Up country,Kandy,Irrigated,0.446,79.7,123.4,6,16.903,7816.3,89.63,700574.97
2017,Yala,Beetroot,Up country,Badulla,Irrigated,0.082,18.6,174.2,11,23.56,1903.4,104.49,198886.27
2020,Maha,Bean (green),Up country,Nuwara Eliya,Irrigated,1.308,151.6,226.7,25,11.289,14338.1,87.68,1257164.61
2017,Yala,Bean (green),Up country,Nuwara Eliya,Irrigated,0.195,24.3,107.2,23,13.756,2615.2,124.39,325304.73
2016,Maha,Ash plantain,Low country,Kurunegala,Irrigated,0.259,43.2,125.7,10,11.72,3029.9,58.05,175885.7
2020,Maha,Ladies fingers,Low country,Kurunegala,Rainfed,0.72,125.6,193.5,6,7.952,5749.2,72.86,418886.71
2021,Maha,Ladies fingers,Low country,Ratnapura,Irrigated,0.687,92.4,220.0,10,10.549,6731.3,71.27,479739.75
2017,Maha,Red pumpkin,Low country,Ratnapura,Rainfed,0.19,10.8,52.1,21,11.594,2176.2,62.53,136077.79
2018,Maha,Radish,Up country,Kandy,Irrigated,0.398,68.8,185.5,19,10.127,4009.2,44.5,178409.4
2023,Yala,Bean (green),Up country,Nuwara Eliya,Irrigated,0.381,74.8,169.8,0,11.224,3887.5,156.17,607110.88
2016,Maha,Ash plantain,Low country,Ratnapura,Rainfed,0.228,44.6,139.3,10,9.4,2077.1,61.96,128697.12
2019,Maha,Capsicum,Low country,Kalutara,Rainfed,0.511,94.2,182.8,15,6.41,3203.2,179.81,575967.39
2018,Maha,Cucumber,Low country,Kurunegala,Irrigated,0.168,33.2,172.1,9,9.643,1546.5,58.42,90346.53
2021,Yala,Carrot,Up country,Kandy,Rainfed,0.36,51.4,153.5,0,16.25,6126.7,151.11,925805.64
2020,Yala,Radish,Up country,Nuwara Eliya,Rainfed,0.282,55.3,187.3,20,23.17,6573.1,40.61,266933.59
2017,Yala,Snake gourd,Low country,Gampaha,Irrigated,0.612,78.1,203.1,20,16.135,10141.8,58.4,592281.12
2022,Maha,Luffa,Low country,Kalutara,Irrigated,0.208,35.1,75.1,8,12.455,2486.7,116.56,289849.75
2016,Yala,Tomato,Up country,Nuwara Eliya,Irrigated,0.427,103.2,143.4,2,19.582,8177.2,75.96,621140.11
2017,Yala,Carrot,Up country,Nuwara Eliya,Irrigated,0.146,27.4,166.5,31,22.012,3281.2,110.51,362605.41
2022,Maha,Snake gourd,Low country,Ratnapura,Rainfed,2.216,272.4,100.3,5,15.859,34312.9,59.06,2026519.87
2017,Yala,Tomato,Up country,Nuwara Eliya,Irrigated,0.727,100.5,114.8,6,16.146,11347.5,84.04,953643.9
2016,Yala,Ladies fingers,Low country,Ratnapura,Irrigated,0.537,70.1,102.3,10,10.005,5338.2,49.94,266589.71
2018,Maha,Tomato,Up country,Kandy,Irrigated,0.81,163.0,114.6,23,14.775,11748.4,73.5,863507.4
2023,Yala,Radish,Up country,Kandy,Rainfed,0.461,104.3,59.2,0,22.186,10311.7,46.13,475678.72
2016,Maha,Cabbage,Up country,Kandy,Irrigated,0.636,104.7,231.5,16,34.7,22769.5,40.87,930589.46
2018,Yala,Snake gourd,Low country,Kalutara,Irrigated,0.395,59.6,182.9,25,10.037,3933.9,78.76,309833.96
2020,Maha,Cabbage,Up country,Badulla,Irrigated,0.681,60.1,183.2,22,25.369,17991.0,54.58,981948.78
2023,Yala,Ash pumpkin,Low country,Ratnapura,Irrigated,0.156,21.5,198.0,13,18.31,2619.3,89.1,233379.63
2019,Maha,Bean (green),Up country,Kandy,Irrigated,0.184,32.7,155.2,20,13.11,2453.3,134.67,330385.91
2017,Maha,Knol-khol,Up country,Badulla,Irrigated,0.447,79.8,132.7,4,11.124,5239.3,54.49,285489.46
2017,Yala,Carrot,Up country,Nuwara Eliya,Rainfed,0.257,31.0,151.1,18,19.627,5276.9,115.19,607846.11
2020,Maha,Leeks,Up country,Badulla,Irrigated,0.433,61.2,162.4,12,28.401,12516.8,86.22,1079198.5
2019,Maha,Ladies fingers,Low country,Kurunegala,Irrigated,0.376,45.0,100.6,27,14.23,5403.1,62.84,339530.8
2018,Maha,Bitter gourd,Low country,Kalutara,Irrigated,0.322,39.2,229.7,11,9.638,3051.8,147.84,451178.11
2017,Maha,Carrot,Up country,Badulla,Rainfed,0.314,47.0,147.1,6,16.102,5233.0,89.34,467516.22
2019,Maha,Cabbage,Up country,Kandy,Irrigated,0.632,85.0,129.3,10,17.023,10461.1,74.51,779456.56
2022,Yala,Red pumpkin,Low country,Gampaha,Irrigated,0.12,22.2,162.4,24,16.602,1968.2,90.67,178456.69
2022,Maha,Bean (green),Up country,Badulla,Rainfed,0.378,68.0,129.3,22,7.638,3013.9,171.06,515557.73
2024,Maha,Bitter gourd,Low country,Kurunegala,Irrigated,0.156,28.7,184.9,16,12.501,1970.7,230.81,454857.27
2020,Maha,Red pumpkin,Low country,Gampaha,Rainfed,1.312,158.5,150.8,7,9.004,11347.0,53.72,609560.84
2019,Maha,Luffa,Low country,Ratnapura,Irrigated,0.368,45.2,178.5,14,15.164,5387.0,88.35,475941.45
2019,Yala,Red pumpkin,Low country,Kurunegala,Rainfed,1.081,138.5,159.6,10,11.793,12546.2,49.77,624424.37
2020,Maha,Luffa,Low country,Kurunegala,Rainfed,0.504,79.3,302.3,21,9.639,4766.9,95.61,455763.31
2019,Maha,Tomato,Up country,Kandy,Irrigated,0.906,94.1,176.7,11,15.099,13095.6,69.1,904905.96
2019,Yala,Brinjal,Low country,Kurunegala,Irrigated,0.536,72.6,214.8,27,10.106,5220.6,67.22,350928.73
2022,Yala,Ash plantain,Low country,Gampaha,Irrigated,0.777,182.0,194.9,3,15.701,11928.6,62.13,741123.92
2020,Yala,Beetroot,Up country,Kandy,Irrigated,0.762,78.5,145.4,13,26.673,20320.9,64.45,1309682.01
2017,Yala,Leeks,Up country,Kandy,Irrigated,0.154,24.4,212.2,11,27.694,4504.3,101.18,455745.07
2020,Yala,Red pumpkin,Low country,Gampaha,Rainfed,0.316,59.2,245.2,25,11.622,3791.0,88.66,336110.06
2017,Maha,Luffa,Low country,Ratnapura,Irrigated,0.653,108.0,60.9,1,9.89,6416.8,69.44,445582.59
2022,Maha,Radish,Up country,Badulla,Rainfed,0.225,23.4,47.1,0,11.269,2474.4,75.35,186446.04
2016,Yala,Knol-khol,Up country,Badulla,Irrigated,0.467,73.1,160.4,3,20.043,8887.9,45.59,405199.36
2018,Maha,Leeks,Up country,Badulla,Irrigated,1.148,214.2,182.4,21,18.084,21686.0,69.83,1514333.38
2016,Maha,Ash pumpkin,Low country,Gampaha,Rainfed,0.248,41.0,106.8,21,19.388,4493.4,44.42,199596.83
2017,Yala,Luffa,Low country,Kurunegala,Irrigated,0.822,111.4,129.9,12,11.11,9279.7,76.21,707205.94
2016,Maha,Carrot,Up country,Badulla,Irrigated,0.091,15.3,136.7,9,14.777,1284.9,140.06,179963.09
2019,Maha,Cucumber,Low country,Ratnapura,Irrigated,0.391,29.7,104.6,11,18.665,7242.7,38.48,278699.1
2021,Yala,Luffa,Low country,Ratnapura,Irrigated,2.516,502.6,202.5,18,11.936,28849.4,61.03,1760678.88
2020,Yala,Red pumpkin,Low country,Ratnapura,Rainfed,1.466,185.8,203.9,15,9.556,14197.9,51.2,726932.48
2020,Maha,Bitter gourd,Low country,Kalutara,Irrigated,0.534,80.6,218.9,29,16.254,8787.3,116.38,1022665.97
2019,Yala,Snake gourd,Low country,Kurunegala,Irrigated,0.493,96.7,142.4,0,19.203,9247.4,63.4,586285.16
2024,Maha,Knol-khol,Up country,Badulla,Rainfed,0.435,92.9,164.2,11,10.901,4901.3,97.69,478808.0
2023,Yala,Snake gourd,Low country,Kalutara,Irrigated,0.356,50.0,171.8,22,12.155,4274.5,101.39,433391.56
2022,Yala,Cabbage,Up country,Nuwara Eliya,Irrigated,0.218,35.5,86.6,22,26.441,5869.1,90.62,531857.84
2022,Yala,Tomato,Up country,Nuwara Eliya,Rainfed,0.52,89.3,161.2,9,16.26,8441.1,106.99,903113.29
2024,Maha,Knol-khol,Up country,Kandy,Irrigated,0.729,115.3,159.8,10,12.989,9755.1,71.26,695148.43
2016,Yala,Luffa,Low country,Gampaha,Irrigated,0.161,20.8,153.8,1,12.526,1985.0,96.64,191830.4
2022,Maha,Snake gourd,Low country,Ratnapura,Irrigated,0.772,115.0,246.0,8,16.004,12828.8,74.76,959081.09
2018,Yala,Ladies fingers,Low country,Kalutara,Irrigated,0.607,89.0,307.6,7,9.975,6234.3,53.0,330417.9
2020,Maha,Carrot,Up country,Kandy,Irrigated,0.296,25.0,189.4,14,26.196,7825.4,135.22,1058150.59
2020,Maha,Bitter gourd,Low country,Kurunegala,Irrigated,0.261,48.6,91.9,28,11.218,3117.2,150.47,469045.08
2020,Yala,Brinjal,Low country,Kalutara,Irrigated,0.093,15.3,145.4,11,11.889,1109.9,124.57,138260.24
2017,Maha,Bitter gourd,Low country,Kalutara,Rainfed,0.454,33.5,64.0,8,12.215,5463.0,129.25,706092.75
2016,Yala,Ash pumpkin,Low country,Ratnapura,Rainfed,0.265,28.1,164.6,0,12.39,3423.9,46.84,160375.48
2024,Yala,Radish,Up country,Nuwara Eliya,Irrigated,0.261,39.6,152.2,5,23.203,5917.4,71.93,425638.58
2022,Yala,Brinjal,Low country,Kurunegala,Irrigated,0.301,35.9,216.0,16,16.707,5276.1,84.32,444880.75
2022,Yala,Red pumpkin,Low country,Kalutara,Irrigated,0.82,119.5,10.0,0,23.05,19018.2,56.32,1071105.02
2016,Maha,Ash pumpkin,Low country,Gampaha,Rainfed,0.152,19.1,177.1,13,12.523,1975.0,55.98,110560.5
2024,Yala,Ash pumpkin,Low country,Kurunegala,Irrigated,0.114,13.7,218.5,12,15.724,1806.7,105.13,189938.37
2023,Yala,Radish,Up country,Badulla,Rainfed,0.669,82.1,161.1,10,17.258,11309.6,46.67,527819.03
2017,Yala,Knol-khol,Up country,Badulla,Rainfed,0.355,72.9,139.0,7,10.666,3828.6,55.81,213674.17
2024,Maha,Leeks,Up country,Kandy,Irrigated,0.186,27.9,216.9,26,20.936,3754.4,151.79,569880.38
2018,Yala,Luffa,Low country,Kalutara,Irrigated,0.305,62.6,182.2,4,12.076,3567.7,91.96,328085.69
2023,Yala,Knol-khol,Up country,Nuwara Eliya,Rainfed,0.277,54.8,194.4,0,11.299,3111.8,93.4,290642.12
2019,Yala,Brinjal,Low country,Kurunegala,Irrigated,0.49,72.4,123.1,0,17.561,8411.9,61.16,514471.8
2022,Yala,Leeks,Up country,Badulla,Rainfed,0.399,37.1,67.3,22,24.637,9553.2,98.72,943091.9
2018,Yala,Brinjal,Low country,Kurunegala,Rainfed,0.234,22.7,107.2,14,12.7,3067.6,73.44,225284.54
2024,Yala,Bean (green),Up country,Kandy,Irrigated,0.557,71.7,162.9,22,15.135,8215.3,171.47,1408677.49
2019,Maha,Luffa,Low country,Ratnapura,Irrigated,1.644,252.3,60.0,0,13.916,22904.7,55.22,1264797.53
2022,Maha,Radish,Up country,Kandy,Irrigated,0.159,19.9,190.3,13,17.477,2930.0,59.46,174217.8
2019,Yala,Luffa,Low country,Kalutara,Irrigated,1.031,166.6,144.2,23,13.372,14354.3,70.93,1018150.5
2017,Maha,Radish,Up country,Badulla,Irrigated,0.61,90.6,186.6,14,17.06,10466.9,35.09,367283.52
2020,Yala,Capsicum,Low country,Kurunegala,Irrigated,0.729,139.2,143.2,19,10.847,8184.5,162.81,1332518.44
2022,Maha,Carrot,Up country,Badulla,Rainfed,0.254,31.1,262.9,14,15.729,4076.6,179.87,733258.04
2018,Maha,Red pumpkin,Low country,Ratnapura,Irrigated,0.323,53.5,90.2,0,12.23,3985.3,68.13,271518.49
2018,Maha,Radish,Up country,Kandy,Rainfed,0.615,168.4,44.5,0,18.153,12056.0,30.68,369878.08
2023,Yala,Bean (green),Up country,Nuwara Eliya,Irrigated,0.689,97.9,200.6,8,11.081,7512.2,144.91,1088592.9
2023,Maha,Cucumber,Low country,Ratnapura,Irrigated,0.939,156.1,98.1,22,10.952,10382.8,49.52,514156.26
2024,Yala,Tomato,Up country,Kandy,Irrigated,0.068,7.6,145.9,5,19.692,1380.5,242.4,334633.2
2023,Maha,Capsicum,Low country,Kurunegala,Irrigated,1.979,274.2,117.8,24,11.397,21457.4,135.44,2906190.26
2020,Maha,Ash plantain,Low country,Gampaha,Rainfed,0.19,24.4,193.0,2,12.508,2357.9,71.69,169037.85
2022,Maha,Cabbage,Up country,Kandy,Rainfed,0.548,95.6,211.6,14,21.422,11266.5,85.41,962271.76
2023,Yala,Bitter gourd,Low country,Kurunegala,Rainfed,0.374,68.4,52.0,14,12.732,4602.8,179.48,826110.54
2016,Yala,Ladies fingers,Low country,Ratnapura,Irrigated,0.239,48.6,162.3,17,10.848,2542.8,67.75,172274.7
2023,Maha,Ash pumpkin,Low country,Kalutara,Rainfed,0.324,53.2,10.0,18,12.228,4092.1,74.42,304534.08
2023,Maha,Ladies fingers,Low country,Gampaha,Irrigated,0.651,96.2,140.6,5,11.36,7115.7,74.41,529479.24
2023,Yala,Carrot,Up country,Nuwara Eliya,Irrigated,0.7,104.0,120.1,27,13.562,9535.2,153.02,1459076.3
2024,Maha,Ladies fingers,Low country,Gampaha,Rainfed,0.424,47.6,243.8,18,9.197,3825.9,97.61,373446.1
2022,Maha,Capsicum,Low country,Gampaha,Irrigated,0.533,86.4,112.6,10,11.225,6077.8,182.46,1108955.39
2019,Maha,Beetroot,Up country,Kandy,Rainfed,0.854,158.7,233.3,23,11.856,10601.0,63.72,675495.72
2020,Yala,Carrot,Up country,Kandy,Irrigated,0.727,105.9,130.0,0,15.255,10655.2,125.16,1333604.83
2019,Maha,Knol-khol,Up country,Kandy,Rainfed,0.378,46.2,188.8,12,15.132,5805.0,64.7,375583.5
2024,Maha,Ladies fingers,Low country,Kalutara,Irrigated,0.356,63.0,175.5,9,12.273,4606.0,93.24,429463.44
2024,Yala,Carrot,Up country,Badulla,Irrigated,0.06,8.0,173.9,0,23.215,1398.1,292.62,409112.02
2020,Yala,Radish,Up country,Badulla,Irrigated,0.108,10.0,292.1,1,26.19,2840.9,61.57,174914.21
2016,Yala,Bitter gourd,Low country,Gampaha,Irrigated,0.29,31.7,178.7,16,18.624,5331.9,95.19,507543.56
2019,Maha,Cabbage,Up country,Badulla,Irrigated,0.438,68.8,149.6,14,28.454,13284.7,64.21,853010.59
2024,Maha,Red pumpkin,Low country,Gampaha,Rainfed,0.297,48.7,164.2,19,12.53,3608.3,112.02,404201.77
2018,Maha,Radish,Up country,Badulla,Rainfed,0.407,59.6,209.8,6,14.87,6108.2,38.25,233638.65
2017,Maha,Bitter gourd,Low country,Gampaha,Irrigated,0.467,50.7,182.5,0,12.858,5737.4,108.62,623196.39
2016,Yala,Ash pumpkin,Low country,Gampaha,Irrigated,0.241,28.4,117.9,14,11.893,2911.0,44.09,128345.99
2022,Yala,Ladies fingers,Low country,Kurunegala,Irrigated,0.536,80.6,178.8,12,9.435,4896.0,90.39,442549.44
2024,Maha,Radish,Up country,Kandy,Rainfed,0.707,80.7,151.4,21,13.453,9885.2,54.94,543092.89
2016,Yala,Snake gourd,Low country,Kurunegala,Irrigated,0.074,12.1,93.1,9,18.902,1375.5,90.28,124180.14
2017,Yala,Knol-khol,Up country,Kandy,Irrigated,0.123,23.1,151.0,9,14.815,1846.6,73.75,136186.75
2017,Yala,Luffa,Low country,Kurunegala,Rainfed,1.661,249.4,177.8,0,7.967,13059.0,63.61,830682.99
2022,Yala,Red pumpkin,Low country,Kalutara,Rainfed,0.133,21.3,91.3,0,12.085,1570.5,110.04,172817.82
2018,Yala,Ash pumpkin,Low country,Gampaha,Irrigated,0.275,34.8,153.0,15,20.766,5906.9,46.88,276915.47
2017,Maha,Snake gourd,Low country,Ratnapura,Irrigated,0.548,77.8,177.0,9,12.629,6990.6,64.25,449146.05
2020,Yala,Beetroot,Up country,Kandy,Rainfed,0.278,58.6,169.0,12,15.828,4325.8,108.68,470127.94
2017,Maha,Radish,Up country,Kandy,Rainfed,0.249,35.8,157.5,9,15.359,3539.9,47.75,169030.22
2024,Maha,Tomato,Up country,Badulla,Irrigated,0.196,14.3,135.4,27,8.542,1628.7,216.09,351945.78
2022,Yala,Red pumpkin,Low country,Ratnapura,Irrigated,0.413,66.7,141.7,9,18.583,7785.8,73.22,570076.28
2021,Maha,Cabbage,Up country,Badulla,Irrigated,1.024,113.9,180.5,6,27.043,28076.4,52.27,1467553.43
2024,Yala,Ash pumpkin,Low country,Ratnapura,Rainfed,0.824,132.5,170.6,6,11.254,8972.7,61.82,554692.31
